be afraid of,~をおそれる
give up doing,~するのをやめる
run away,~を逃げる
for a while,~しばらく
all day,~一日中
as usual,~普通に
be able to do,~できる
be famous for,~で有名な
be proud of,~を誇りに思っている
each other,~お互い
in front of,~の前で
a pair of,~一組の
pay for,~を払う
turn on,~をつける
turn off,~を消す
What's the matter,~どうしたの
agree with,~と同じ考え
as soon as possible,~できるだけ早く
be absent from,~が欠席する
be covered with,~で覆われている
between A to B,~AからBまで
come true,~成り立つ
either A or B,~AかBのどちらか
get off,~を降りる
get on,~に乗る
go for walk,~散歩する
help yourself,ご自由にどうぞ
hold on,待つ
in a hurry,~急いで
in trouble,~困っている
leave a message,~メッセージを残す
look around,~周りを見渡す
look like,~のように見える
be made of,~でできている
make friends with,~と友達になる
spend A on,~にAを使う
such as,~など
take care of,~の世話をする
on the way home,帰り道で
throw away,~を捨てる
a piece of,一枚の
all night long,~一夜中
all over the world,~世界中で
all the time,~いつも
help with,~を手伝う
than any other,~他のものよりも
as well,~も
not ... at all,~全く...ない
at last,~ついに
be filled of,~で満たされている
be interested in,~に興味を持つ
be popular with,~に人気
be scared of,~をおそれる
be sick in bed,~病気で寝ている
become friends with,~と友達になる
belong to,~に属する
both A and B,~AとBの両方
break one's promise,~約束を破る
by oneself,~自分で
change trains,電車を乗り換える
do one's best,~一生懸命にする
far away from,~遠く離れている
fall down,~転ぶ
for the first time,~初めて
get excited,~興奮する
get married,~結婚する
give A a hand,~Aを手伝う
go away,~を去る
go on a picnic,~ピクニックに行く
go on a trip,~旅行に行く
go out,出かける
grow up,~育つ
have a chance to do,~できる機会がある
have a headache,~頭痛がする
a lot of fun,~楽しい
how often,~どのくらいの頻度で
in one's opinion,~その人の意見では
introduce oneself,~自己紹介する
knock on,~を叩く
be made from,~でできている
make a mistake,~間違える
make a speech,~演説をする
more and more,~もっと
most of,~のほとんど
much better,はるかに良い
on the radio,ラジオで
put on,~を身に着ける
right now,今すぐに
say to,~に言う
shake hands with,~と握手をする
share A with,~とAを分ける
shout out,~に大声で言う
so that,~するために
take a break,休憩する
take a walk,散歩する
take off,~を脱ぐ
take part in,~に参加する
talk with,~と話す
talk to oneself,独り言を言う
at the end of,~の終わりに
think about,~について考える
try A on,Aを試着する
turn up,音量を上げる
turn down,音量を下げる
turn left,左に曲がる
turn right,右に回る
why don't you,~してはどうですか？
worry about,~のことを心配する
a day,一日につき
a number of,多くの~
a part of,~の一部
after all,結局
and so on,~など
arrive at,~に着く
as you know,知っての通り
ask A todo,Aに~するよう頼む
at once,すぐに
at one's best,一番良い状態で
be full of,~でいっぱいである
up to,~次第である
by the way,ところで
catch a cold,風邪をひく
fall asleep,寝入る
for example,例えば
for fun,気晴らしに
get out of,~から出る
in fact,実際に
in return,お返しに
name A after B,BにちなんでAを名付ける
not only A but also B,AだけでなくBもまた
prepare for,の準備をする
set up,設置する
side by side,並んで
stand for,~の略である
stop by,立ち寄る
take a look at,~を見てみる
take a seat,着席する
want A to do,Aに~してほしい
day after day,来る日も来る日も
a bit of,少しの
a couple of,2.3の
after a while,しばらくして
all the way,はるばる
throught the year,一年を通して
ask A for B,AにBを求める
at the age of,~歳の時に
be fond of,~が好きな
in danger,危険な
in time for,~に間に合って
be sure to do,必ず~する
be tired from,~で疲れている
be tired of,~にうんざりしている
be wrong with,~の調子が悪い
bacause of,~が原因で
before long,まもなく
begin with,~で始まる
cut down,切り倒す
day and night,昼も夜も
do A a favor,Aの頼みをきく
fell at home,くつろぐ
fell like doing,~したい気分である
find out,見つけ出す
from now on,これからずっと
go wrong,上手くいかない
happen to do,たまたま~する
help yourself to,自由に飲んだり食べたりする
in the end,最終的に
in the middle of,~の最中に
those days,当時
in this way,このようにして
keep one's promice,約束を守る
laugh at,~のことを笑う
littele by littele,少しずつ
look after,~の世話をする
look forward to doing,~するのを楽しみにする
lose one's way,道に迷う
make a difference,違いを生む
make it(on time),間に合う
make yourself at home,くつろぐ
move to,~に引っ越す
neigher A nor B,AでもBでもない
not any more,これ以上~ない
on business,仕事の用事で
on one's way to,~に向かう途中で
once a weak,週に一回
one after another,次から次へと
one another,お互い
right away,直ちに
show A around,Aに~を案内する
some another time,いつかまた別の時に
take a message,伝言を受け取る
take a rest,休息をする
than usual,いつもより
the same as,~と同じ
these days,最近
thousands of,何千もの
get well,元気になる
go by,（時が）過ぎる
in common,共通して
keep in touch with,~と連絡を取り続ける
at first,最初は
actively,積極的に，活発に
frequently,頻繁に，よく
quickly,速く，迅速に
simply,単純に，簡単に
warmly,暖かく，心から
openly,公然と，率直に
nearly,ほとんど，ほぼ
occasionally,時折，ときどき
soon,すぐに，まもなく
seldom,めったに～ない，まれに
slowly,ゆっくりと，遅く
kindly,親切に，優しく
suddenly,突然に，急に
exactly,正確に，ちょうど
easily,簡単に，容易に
generally,一般的に，概して
recently,最近，近頃
thoroughly,徹底的に，完全に
widely,広く，広範囲に
loudly,大声で，うるさく
partly,部分的に，ある程度
seldom,めったに～ない，まれに
likely,おそらく，ありそうに
partly,部分的に，ある程度
particularly,特に，特有で
accidentally,偶然に，うっかり
extremely,非常に，極めて
completely,完全に，まったく
break the ice,場の雰囲気を和らげる，最初の障壁を取り除く
hit the hay,寝る，ベッドに入る
kick the bucket,死ぬ，命を落とす
let the cat out of the bag,秘密を漏らす，事実を暴露する
piece of cake,簡単な仕事，朝飯前
spill the beans,秘密を漏らす，事実を暴露する
take the bull by the horns,問題に果敢に立ち向かう，大胆に行動する
the ball is in your court,ボールが相手の手にある，責任が相手にある
throw in the towel,諦める，降参する
under the weather,具合が悪い，体調がすぐれない
anxious,心配して，切望して
frequent,頻繁な，よくある
rapid,速い，迅速な
similar,似ている，同様の
brief,簡潔な，短時間の
entire,全体の，完全な
various,様々な，さまざまな
sensible,分別のある，賢明な
careful,注意深い，慎重な
comfortable,快適な，心地よい
fortunate,幸運な，幸福な
positive,積極的な，好意的な
cautious,用心深い，慎重な
attractive,魅力的な，引きつける
fortunate,幸運な，幸福な
harmless,無害な，危険がない
reluctant,嫌がって，気が進まない
wise,賢明な，賢い
typical,典型的な，代表的な
strict,厳格な，厳しい
accurate,正確な，精密な
appropriate,適切な，ふさわしい
distant,遠い，離れた
eager,熱望して，熱心な
harmless,無害な，危険がない
confused,混乱した，当惑した
noisy,うるさい，騒々しい
unique,ユニークな，唯一の
abundance,豊富，十分
celebration,祝賀，祝福
decrease,減少，減少量
estimate,推定，見積もり
improvement,改善，向上
expansion,拡大，拡張
reaction,反応，反応力
